,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,sat_min,sat_max,names,price,acceptance,size
0,0,0,0,0,0,1510,1570,Massachusetts Institute of Technology,"$20,465",7%,4500
1,1,1,1,1,1,1460,1570,Harvard University,"$18,030",5%,6755
2,2,2,2,2,2,1440,1570,Stanford University,"$16,779",4%,7083
3,3,3,3,3,3,1460,1570,Yale University,"$18,073",6%,5963
4,4,4,4,4,4,1480,1570,Duke University,"$24,386",8%,6596
5,5,5,5,5,5,1460,1570,Princeton University,"$18,712",6%,5301
6,6,6,6,6,6,1470,1570,Rice University,"$20,335",9%,3962
7,7,7,7,7,7,1530,1560,California Institute of Technology,"$27,438",6%,948
8,8,8,8,8,8,1440,1570,Brown University,"$27,218",7%,1575
9,9,9,9,9,9,1450,1560,University of Pennsylvania,"$24,771",8%,10764
10,10,10,10,10,10,1460,1560,Vanderbilt University,"$25,855",9%,6840
11,11,11,11,11,11,1440,1570,Columbia University,"$21,828",5%,8216
12,12,12,12,12,12,1440,1560,Dartmouth College,"$23,869",8%,4312
13,13,13,13,13,13,1440,1550,Northwestern University,"$26,196",9%,8265
14,14,14,14,14,14,1480,1560,Washington University in St. Louis,"$27,108",14%,7356
15,15,15,15,15,15,1400,1550,University of Notre Dame,"$30,536",16%,8568
16,16,16,16,16,16,1500,1570,University of Chicago,"$34,719",6%,6600
17,17,17,17,17,17,1400,1560,Cornell University,"$28,921",11%,15105
18,18,18,18,18,18,1360,1530,University of Southern California,"$37,521",11%,1842
19,19,19,19,19,19,1390,1540,Pomona College,"$18,500",7%,168
20,20,20,20,20,20,1460,1560,Johns Hopkins University,"$28,999",11%,5567
21,21,21,21,21,21,1460,1560,Carnegie Mellon University,"$30,618",15%,6483
22,22,22,22,22,22,1340,1530,University of Michigan - Ann Arbor,"$17,357",23%,30079
23,23,23,23,23,23,1300,1530,University of California - Los Angeles,"$15,718",12%,24163
24,24,24,24,24,24,1380,1550,Georgetown University,"$28,442",14%,7089
25,25,25,25,25,25,1360,1510,Bowdoin College,"$23,808",9%,1825
26,26,26,26,26,26,1300,1510,Georgia Institute of Technology,"$16,883",21%,15201
27,27,27,27,27,27,1490,1570,Harvey Mudd College,"$39,411",14%,886
28,28,28,28,28,28,1340,1520,University of Virginia,"$17,579",24%,16405
29,29,29,29,29,29,1360,1540,Carleton College,"$31,547",19%,2046
30,30,30,30,30,30,1390,1540,Tufts University,"$26,280",15%,5597
