,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Massachusetts Institute of Technology,-3335.1638,5882.2603,1812.4613,-1157.6024,523.25464,-5998.798,-651.4176,6508.129,-3611.1003,-5068.7915,-2417.4238,-4130.6284,1483.9875,3556.9255,2522.9607,-2476.9734,3412.2058,1014.0272,-1907.0192,-10055.448,2377.2603,994.5449,3242.2744,-1972.7552,1922.5094,-1305.8992,-5331.932,56.6995,-4790.1904,981.0269,3178.134,-1215.5096,1102.3466,-2177.8022,-2917.0596,7155.434,794.4971,548.55615,-4826.9067,-850.8693,446.51334,-4941.76,-1712.865,1001.1047,2900.2224,-549.6117,-5726.412,-1683.0762,-169.3994,1312.3428,2626.4207,-2506.2146,641.4389,125.4516,51.57516,-61.786972,3536.89,-1508.6973,-2790.2732,-876.19116,598.2987,-2993.9414,2138.0662,-932.3201,-4589.395,5360.326,2960.0469,3693.2744,-5570.9023,1557.5221,-2190.2842,2767.679,2616.6106,597.09125,2103.0713,689.46875,490.8358,2400.8071,-2862.8726,-696.4721,-3943.1997,-3244.6877,-1830.0918,2721.9749,-3032.7678,460.627,1874.509,-2989.563,5071.916,913.59015,2924.999,-131.15848,3098.1755,81.12656,8969.999,1798.7616,3394.7346,-398.18347,2503.6116,-2746.1318
Harvard University,-1117.7775,1871.9316,719.20197,-281.56012,89.79767,-1992.6293,-134.84251,2248.842,-1333.1562,-1704.9661,-776.32513,-1370.2367,424.93378,1198.5834,865.3511,-828.7995,1298.981,326.68704,-647.4268,-3371.0396,832.7569,459.8404,1191.7517,-662.5697,607.5234,-332.10132,-1885.9845,20.388632,-1614.93,389.9135,1103.874,-369.57498,333.8884,-787.71423,-1081.5841,2454.5781,169.59964,187.22821,-1689.6628,-241.45575,126.4766,-1543.3059,-496.8255,336.7754,1011.97095,-143.73544,-2012.6205,-629.4019,-110.61694,517.31866,845.87994,-804.4093,198.70544,-11.491538,48.793503,-187.39238,1075.9279,-530.9277,-979.85944,-264.81357,107.88151,-1084.2625,782.50543,-226.82335,-1570.4978,1782.662,988.8477,1302.1559,-1845.023,516.24536,-626.70294,921.69464,855.5221,139.92975,775.66113,221.04683,214.5757,818.3208,-892.1652,-366.7096,-1271.5015,-1065.603,-622.13495,1034.5254,-984.83344,76.99024,835.44055,-975.994,1659.5306,328.57498,1010.3111,-83.73655,1121.0483,42.64507,3001.3352,625.7896,1115.4513,-64.58075,817.4566,-945.3561
Stanford University,-2653.8896,4859.05,1608.5615,-948.2433,279.6398,-4924.4307,-476.50027,5530.7944,-3196.3013,-4510.1523,-1709.2244,-3036.0505,1038.5062,3154.0977,2015.8245,-1831.0867,2857.6038,861.52264,-1612.36,-8328.793,2100.5522,989.60657,2778.0188,-1595.4524,1545.1204,-1007.526,-4414.681,-21.225393,-3904.6118,1048.4838,2584.41,-841.7837,1037.7712,-1680.0422,-2621.244,5880.268,489.62653,562.2408,-4143.2666,-808.232,437.41187,-3911.1602,-1439.4902,651.1306,2523.418,-931.76276,-4736.5107,-1425.4672,60.712505,1250.4395,2048.4995,-2122.9932,350.04483,214.23216,142.9043,48.637856,2611.5413,-1451.2881,-2343.241,-1009.027,659.4092,-2464.1252,1865.6195,-646.4905,-3936.9553,4642.606,2357.4365,3115.9424,-4620.6694,1290.1375,-1619.2496,2450.842,2059.0974,372.46097,1608.8494,626.10876,495.4596,1913.1327,-2478.857,-677.1377,-3158.169,-3176.5842,-1426.6208,2557.9438,-2134.1257,109.8478,1878.0204,-2388.9668,3988.6724,827.9193,2354.483,-176.60747,2363.274,241.82678,7295.0923,1251.9857,2778.6697,-218.17787,2305.2014,-2110.433
Yale University,-3442.447,6259.375,2100.6628,-856.14197,542.1443,-6751.0215,-508.21353,7243.9243,-4222.019,-5812.0347,-2293.0454,-4224.488,1152.4696,4387.4443,2368.9,-2221.35,3971.445,1531.4983,-2194.4746,-10964.694,2933.797,1500.2323,4228.203,-2063.4663,2363.07,-1574.2529,-5935.5547,395.63263,-5360.3657,1440.7443,3630.6367,-1402.4403,1328.0548,-2315.0752,-3242.2554,8276.878,871.5477,502.4059,-5795.935,-853.6692,622.3704,-4909.987,-2013.418,1232.4335,3392.3074,-781.40735,-6556.2183,-2022.6067,-116.30737,1204.5935,2776.8838,-2597.5264,507.65646,90.22525,167.1667,-499.1599,3295.6028,-1751.254,-2957.2214,-1238.0215,845.9344,-3371.767,2374.5303,-756.22314,-5380.079,6186.8394,3365.9814,3805.7014,-6292.0083,2044.3307,-2424.6038,3188.4092,2733.674,420.79578,2042.8624,731.7359,612.32495,2386.5564,-3181.2893,-1299.9717,-4115.1455,-3595.4338,-1885.3394,3110.505,-2977.4956,19.819841,2677.7874,-3466.5625,5154.5884,954.74915,2948.9656,-689.39435,3305.7683,-33.756176,9697.769,1590.1014,3660.397,-208.22133,2742.9878,-2902.416
Duke University,-3272.493,5924.971,1977.6333,-1124.8986,87.352974,-6519.8564,-756.9885,7069.111,-4079.2961,-5440.626,-2094.0798,-3689.002,1116.6298,3830.858,2765.6628,-2608.9211,4020.272,925.66425,-2294.4368,-10543.42,2737.0603,1436.7748,3990.7307,-1795.8788,1796.5352,-1293.1691,-5606.508,21.406736,-5081.761,1319.3352,3350.2773,-1198.8291,1226.8975,-2531.0503,-3302.955,7788.3027,512.3688,529.5441,-5576.3076,-887.7481,166.65291,-5002.062,-1624.8414,978.76263,3310.8816,-929.56586,-6355.0317,-2029.1823,-340.4098,1485.6863,2887.3774,-2823.3154,162.22832,-59.452644,299.96494,-199.22581,3340.0818,-1897.6763,-3297.2139,-1122.0261,662.2518,-3071.6355,2557.044,-903.11804,-4835.787,5943.792,3258.3574,4374.2915,-6000.647,1780.1182,-1970.1069,3076.2104,2589.65,558.3741,2283.1602,830.21796,715.46826,2485.2156,-3025.4587,-918.2289,-4015.6677,-3597.8667,-2053.114,3487.3052,-3047.5745,113.117966,2465.8606,-2777.5447,5303.5405,1025.3324,3207.1426,-30.81881,3399.9697,241.15807,9735.899,1915.1223,3712.1963,-234.4615,2404.1697,-2872.7593
Princeton University,-2903.698,5007.9893,1749.0626,-602.51166,220.47713,-5686.475,-540.14606,6151.971,-3592.6167,-4920.4272,-1658.3624,-3095.1958,794.1196,3684.2876,2080.2769,-1950.739,3514.1528,1074.7299,-2028.7445,-9245.683,2579.862,1395.4238,3798.5425,-1683.8341,2025.9192,-1117.2653,-5066.886,393.67715,-4461.017,1548.26,3023.396,-1133.5092,1341.4875,-2008.2843,-2845.6084,6909.48,395.3442,483.8949,-4818.7896,-538.9907,502.27765,-4014.8137,-1719.4973,825.6157,2827.4465,-953.58496,-5390.495,-1607.9608,-228.70065,1191.5922,2412.2356,-2243.416,248.61398,69.82874,334.19415,-406.96307,2711.4912,-1656.1957,-2648.8628,-1062.1941,635.96735,-2827.6426,2481.4578,-741.5601,-4405.0493,5233.8667,2798.8855,3421.115,-5295.446,1615.144,-1778.3756,2662.9824,2086.7292,272.54694,1740.4366,472.6675,562.21106,2018.954,-2542.2524,-1197.7986,-3372.4604,-3065.0864,-1636.2902,2777.549,-2547.115,135.62613,2635.9404,-2775.563,4474.5327,1016.11224,2640.8625,-424.19925,2892.6,52.167324,8128.0195,1330.4526,3049.3213,-34.29121,2375.1033,-2403.198
Rice University,-3026.1558,5188.39,1580.277,-859.9485,187.00006,-5749.1157,-512.97723,6235.006,-3562.6406,-4803.027,-1955.497,-3220.568,1072.8054,3502.3245,2219.4038,-2254.6494,3441.6377,892.116,-1987.6803,-9463.254,2438.2495,1244.683,3538.9612,-1674.6447,1733.3063,-1147.516,-5087.899,260.2717,-4485.958,1395.4852,3098.57,-1174.1196,1097.024,-2178.216,-2731.0022,7038.1587,439.58765,425.34186,-4845.826,-695.61664,345.96277,-4266.8345,-1672.115,882.0174,2861.1848,-800.89557,-5517.7964,-1658.4822,-154.42891,1024.0193,2497.7002,-2284.5728,201.09094,137.78748,156.74977,-265.68463,3001.7107,-1685.8413,-2766.351,-936.60846,749.4503,-2961.0017,2406.4434,-714.8419,-4314.815,5315.75,2895.5747,3466.6226,-5535.317,1459.4921,-1926.0206,2784.8025,2233.3877,392.86646,1713.8525,634.35425,533.8835,2230.375,-2671.8394,-911.16565,-3652.1438,-3129.0066,-1648.6527,2733.5715,-2519.861,84.59806,2342.1155,-2628.992,4613.113,894.58887,2769.5476,-73.07212,2894.7979,47.186462,8405.815,1598.5112,3146.366,-145.35394,2218.226,-2399.421
California Institute of Technology,-2694.3574,4927.1646,1554.4891,-913.07,348.15253,-5174.23,-482.6346,5711.26,-3161.965,-4319.72,-1830.1945,-3105.542,912.86163,3135.081,1905.3071,-1991.1337,2823.383,1064.6512,-1820.6162,-8534.569,2172.4558,1010.5875,2991.9612,-1551.9349,1746.1116,-1216.4274,-4324.9023,293.0264,-4173.985,985.30756,2673.06,-1237.1102,1259.7465,-1886.8252,-2420.714,6254.3594,709.38947,479.17795,-4183.862,-544.53253,305.77686,-4061.6926,-1806.9766,828.6313,2469.854,-808.5878,-4918.476,-1404.3242,-188.32288,919.24115,2334.929,-2129.212,256.15555,157.24179,236.07382,-35.72966,2826.128,-1584.6979,-2462.8462,-953.79974,659.9532,-2455.9888,2014.3745,-864.6375,-3950.642,4709.0522,2653.4182,3145.2346,-4916.935,1418.2318,-1768.1282,2519.5156,2040.6082,341.32898,1639.2102,524.1149,478.63123,2028.331,-2535.581,-850.1048,-3352.6057,-2714.19,-1492.038,2390.3406,-2667.75,336.8997,1682.5597,-2545.6648,4278.3574,772.68713,2395.5623,-160.1554,2660.5396,78.22444,7683.1504,1395.1747,2934.6775,-360.17938,2160.8882,-2200.6135
Brown University,-3317.1047,5697.1123,1902.6829,-678.8651,420.45334,-6290.408,-506.57602,6788.491,-4044.288,-5023.9883,-2216.4995,-3917.053,1339.819,3584.2124,2375.9937,-2563.1775,3530.682,1161.5831,-2302.1736,-10105.203,2600.2395,1353.0131,3815.181,-2013.8348,2071.7864,-1270.3883,-5435.8433,238.16623,-4912.35,1225.9036,3298.7566,-1381.6058,1080.1035,-2268.819,-2600.825,7601.4844,493.7985,406.2606,-4967.96,-694.8494,470.9764,-4724.8794,-2036.2968,1142.8732,2707.3657,-513.55994,-5947.8916,-1742.0591,-287.72195,1074.3639,2823.722,-2601.4382,485.51773,-80.23058,237.46056,-61.47837,3356.9014,-1760.1903,-3072.99,-692.93463,522.1838,-3021.2712,2230.8103,-932.2784,-4612.6255,5544.568,3211.583,3755.631,-5729.135,1578.87,-2092.3635,2750.7485,2649.312,634.41644,1877.4792,715.03625,662.3586,2350.8684,-3041.6199,-913.46405,-4123.7266,-3023.26,-1777.5013,2748.5227,-2862.666,218.20126,2189.4805,-3047.5344,5176.0957,871.74915,2792.8782,-240.3904,3328.5537,49.593422,9020.912,1815.0162,3376.1616,-265.27158,2312.3909,-2829.649
University of Pennsylvania,-4701.7983,8613.538,3043.1768,-1033.5883,702.5344,-9715.315,-667.67694,10547.172,-6302.356,-8141.885,-3360.5508,-5730.4346,1557.1841,6184.155,3578.6213,-3434.3528,5964.642,2401.3193,-3249.8298,-16032.438,4585.1714,2226.0093,6276.471,-3250.2178,3421.7607,-2103.0818,-8478.358,801.8498,-7619.1504,2470.2952,5342.9434,-2124.3047,1843.5583,-3755.7822,-4486.272,12244.695,1085.7543,1006.5938,-8369.963,-1261.751,917.7343,-7258.0366,-2964.443,1905.4779,4689.1206,-1138.4113,-9658.6,-2811.9468,-354.07446,1635.1272,4178.7466,-3930.979,439.9861,-56.97094,402.40005,-595.6758,4689.4253,-2690.9773,-4787.767,-1552.4395,1217.4583,-4834.785,3704.5198,-1180.7098,-7647.5454,8907.774,5050.963,5667.7026,-9017.244,2754.2742,-3375.858,4320.3003,3796.185,827.749,3072.1443,935.64124,974.9458,3616.4324,-4649.9375,-1800.1917,-6095.488,-4870.885,-2714.3206,4512.577,-4654.839,81.08928,3900.139,-4798.3086,7723.0913,1125.386,4297.649,-827.9057,5072.331,35.70499,13970.882,2358.2234,5344.948,-369.26486,3668.9644,-4231.6543
Vanderbilt University,-2568.7449,4816.8677,1734.7938,-382.81424,257.84213,-5354.583,-301.5301,5927.9165,-3570.4663,-4728.6597,-1606.0481,-3115.4094,903.1803,3256.3833,1888.9417,-1953.7852,3222.5935,1051.0304,-2154.6272,-8697.894,2573.6511,1344.3414,3600.793,-1574.3618,1922.3264,-1128.6948,-4732.4487,397.63013,-4166.8945,1279.1182,2670.4478,-1201.7252,1131.894,-1905.0934,-2466.6787,6454.5317,371.6757,306.83978,-4499.449,-553.15375,546.34784,-3854.3123,-1748.3129,1013.00726,2518.8147,-796.08673,-5070.8623,-1395.6425,-293.1932,1007.6643,2139.7874,-2361.6692,67.6041,-34.873245,311.21826,-219.16924,2532.9644,-1564.622,-2544.2305,-882.6445,566.1305,-2545.2495,2123.5674,-800.8614,-4346.278,4738.476,2744.67,3281.7637,-4845.6626,1551.0804,-1676.083,2444.8906,2161.234,403.13696,1625.8519,618.34735,565.763,1897.6301,-2587.1875,-1133.4579,-3142.9944,-2475.838,-1474.8965,2585.6062,-2398.705,39.369507,2199.0632,-2776.6965,4202.4824,650.60175,2303.465,-435.38937,2800.237,74.5262,7707.921,1199.1156,2831.0251,-186.1029,2103.0935,-2298.9937
Columbia University,-3916.8665,6877.013,2465.459,-851.65015,428.9323,-7464.5874,-504.45074,8000.6,-4807.976,-6583.866,-2534.3992,-4803.3237,1430.7672,4820.9053,2688.881,-2848.1086,4544.4907,1736.657,-2590.2847,-12303.659,3312.0835,1461.5515,4833.1475,-2467.7766,2782.4712,-1404.7947,-6853.9155,464.24707,-5830.97,1717.9939,3807.7559,-1477.7013,1722.1455,-2749.1265,-3547.3726,8863.159,662.3303,554.90753,-6147.077,-792.0322,741.0984,-5651.05,-2335.0696,1532.7347,3491.9758,-794.66766,-7251.9556,-2187.1138,-318.52005,1470.4869,3092.7434,-3117.4585,591.43256,-61.661922,260.60287,-393.48343,3859.395,-1918.177,-3448.6782,-1029.2338,777.5499,-4080.5242,2952.24,-971.9795,-5765.971,6895.5166,3579.183,4406.987,-6739.4126,2018.5911,-2601.5876,3471.569,3090.6956,442.83594,2470.3406,900.99176,769.85284,2710.345,-3274.8496,-1610.8832,-4675.7954,-3826.4043,-2042.1326,3040.363,-3599.8135,181.72574,3323.3674,-4168.0063,5721.0513,968.41174,3763.4402,-690.10846,3739.8237,58.883465,10600.087,1680.5045,3744.427,-153.86006,2774.8853,-3247.3877
Dartmouth College,-2538.5798,4594.627,1393.8503,-775.21906,407.71774,-4886.1094,-387.78137,5263.7974,-3027.8857,-4140.7266,-1564.9615,-2912.8962,832.1016,3078.771,2020.4712,-1817.7448,2979.9158,988.2163,-1582.6099,-8018.3374,2146.1755,1056.9929,3068.7156,-1469.7395,1672.0184,-1125.1981,-4289.9243,178.98837,-3928.0579,1103.1414,2658.4995,-1008.949,1003.1663,-1835.8535,-2428.1438,5824.3613,534.12585,466.34058,-4043.6597,-698.13806,291.82388,-3603.1978,-1567.2725,878.99866,2424.488,-613.96234,-4649.7373,-1396.7964,-56.40332,991.4562,2147.9866,-2031.804,304.35995,-21.368713,218.32976,-30.282095,2457.6155,-1216.835,-2303.6804,-861.5517,497.78845,-2326.32,1817.328,-591.1267,-3627.422,4578.7603,2400.3552,2962.6187,-4567.6157,1396.9133,-1702.4956,2360.8875,2032.3191,332.86258,1546.7069,514.6775,486.22003,1763.4161,-2289.2546,-828.3811,-3066.1624,-2726.1196,-1452.2678,2293.47,-2210.745,163.02377,2049.455,-2470.9202,3918.2107,750.6068,2427.8645,-187.63724,2477.3606,24.683002,7158.767,1306.4199,2748.749,-140.66307,1931.196,-2238.9365
Northwestern University,-2563.356,4727.175,1672.8777,-783.77637,264.17575,-5156.198,-421.37772,5641.117,-3215.3037,-4345.3623,-1857.3488,-3152.1125,973.4166,3049.6614,2003.1251,-1962.1289,3111.1436,917.6281,-1705.2599,-8422.929,2130.2754,1068.0933,3005.9558,-1658.6183,1605.0181,-991.5949,-4453.628,160.5112,-3946.501,1184.374,2803.3804,-1009.01086,856.92255,-2002.7295,-2444.701,6149.483,460.40344,363.45453,-4089.9946,-839.64087,451.6081,-3917.7573,-1420.9803,768.7337,2442.071,-540.2562,-4986.268,-1442.6333,-149.65526,1066.3969,2086.7053,-2135.6643,274.99728,57.693764,172.59363,-92.413,2824.3662,-1386.328,-2454.4592,-717.79865,483.06644,-2553.5024,1740.0317,-694.7095,-3859.3892,4597.3896,2581.731,3084.7954,-4695.639,1256.2627,-1736.247,2278.5674,2193.19,478.96445,1738.0127,629.387,612.7464,2020.568,-2552.7231,-655.8308,-3241.9844,-2683.9924,-1378.915,2447.3115,-2334.3508,180.92471,1942.804,-2419.447,4174.382,711.8938,2376.4983,-144.41666,2651.1042,65.485565,7422.568,1399.686,2834.0847,-290.12436,2014.8108,-2222.287
