,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Massachusetts Institute of Technology,-3627.8425,2248.2844,343.69385,2541.3188,2217.6716,-4015.6333,2595.6729,7966.8804,-4106.8184,-5237.154,-1142.8558,-8114.1265,-315.30557,1208.9517,-983.05316,-3420.7356,5928.009,-731.8632,-3358.3608,-8316.994,3719.2646,-1769.6779,2620.8135,-1269.9591,641.4266,-570.77277,-3099.1545,1815.0702,-1729.9437,99.62536,3724.9272,-2349.7886,1623.2449,-2314.255,-1445.8337,5075.9253,921.38043,694.26483,-3809.5608,-2907.9941,1896.8,-3934.3008,-2904.9631,1581.4547,3794.621,573.0083,-2462.8416,-1693.066,2522.406,3813.1018,2299.3423,-3948.2214,1183.2725,1137.8369,-156.93924,2258.5493,4740.7905,-1735.0176,-5700.84,106.915016,196.77727,110.61456,1122.8525,-1873.7252,-5846.0054,3074.4282,176.65799,1964.3224,-3037.5115,3995.4612,-747.9662,3617.4897,4634.555,1335.8306,5239.575,2364.2065,2472.561,1260.5259,-1628.6394,811.98004,-5292.159,-756.01587,-1550.5643,112.492744,-1620.6714,91.50068,2337.4824,1028.8027,4373.243,4045.3342,3171.84,180.36198,3025.437,-344.25766,7040.759,5838.377,-324.14932,-1695.1844,3850.8325,-867.26666
Harvard University,-1189.4268,688.90234,221.27588,939.43677,530.5568,-1295.7369,877.3514,2745.0234,-1427.1934,-1813.5625,-307.55548,-2678.8171,-40.962914,372.2716,-384.9175,-1165.4949,2184.7522,-336.1677,-1123.3153,-2904.0552,1309.291,-527.76086,911.36,-398.67047,246.0786,-158.36836,-977.7426,630.126,-547.21533,117.546684,1197.0714,-789.0147,589.5696,-869.3381,-595.3019,1754.0272,251.67221,191.90329,-1334.2095,-1020.76404,589.51086,-1247.7819,-964.0889,516.9593,1320.2224,197.0595,-890.3753,-636.0234,777.2283,1314.6991,683.5207,-1282.3773,448.28983,323.23157,62.46301,664.4521,1526.7856,-626.4404,-2000.8241,62.9493,-99.31373,8.032508,403.74567,-629.75867,-1971.8905,1091.6655,-18.910402,774.8775,-932.1294,1344.1871,-146.91318,1228.2134,1499.4193,458.65753,1852.8335,747.6556,927.0999,379.97937,-533.203,206.81601,-1763.6675,-203.37437,-555.5553,167.03938,-527.3785,-76.67971,829.3806,356.61182,1396.3243,1414.0089,979.4507,-17.436321,1082.1438,-91.949554,2296.4727,1943.6761,-156.52689,-596.7391,1323.0057,-243.63837
Stanford University,-2995.189,2038.3276,268.56696,2245.5168,1350.5933,-3489.4482,2087.8552,6694.378,-3367.4746,-4563.9404,-603.7963,-6481.049,-204.09804,1059.4576,-954.92255,-2676.346,5002.106,-673.9232,-2664.7266,-6928.181,3334.5608,-1352.6522,2362.795,-1077.5546,556.79846,-367.61725,-2625.902,1502.1188,-1293.7788,198.07202,2976.758,-2076.1726,1506.3816,-1698.335,-1434.3944,4084.514,818.19464,603.0106,-3348.5916,-2390.5625,1602.3269,-2889.1653,-2506.1375,1344.9209,3284.7349,73.46609,-1896.4924,-1476.232,2120.05,3383.714,1546.0137,-3262.738,859.66583,1035.4175,-35.476414,2129.7092,3823.071,-1484.2878,-4622.006,-220.45445,235.86859,21.744795,1180.5258,-1451.7278,-4975.799,2675.7449,1.537112,1655.7338,-2514.612,3419.8447,-603.8284,3199.828,3823.491,1155.5795,4262.347,2233.0,1984.7614,909.48175,-1525.9403,461.09445,-4233.4023,-781.92773,-1117.1576,514.8816,-1048.3508,-24.914673,1910.4888,821.63715,3440.9893,3614.9902,2634.3079,46.955887,2440.715,-167.77797,5785.0654,4560.4907,-191.08574,-1471.8466,3309.006,-563.82196
Yale University,-4016.8303,2353.909,443.1789,3297.5828,2143.1067,-4400.2793,2835.0303,8796.649,-4292.0977,-5919.936,-795.04,-8820.0205,-442.67273,1350.8334,-1686.6378,-3336.1587,6742.5415,-575.99554,-3401.4045,-9276.806,4525.435,-1504.7324,3484.6318,-1183.4806,855.1818,-802.5909,-3287.9468,2217.7144,-1709.2462,256.06332,3965.8013,-2847.386,2069.6448,-2638.6626,-1897.4958,5930.062,1066.004,787.17737,-4637.042,-3003.8335,2145.81,-4007.3857,-3582.1777,1909.2145,4339.9785,355.2551,-2688.8691,-2107.979,2863.6206,4162.0093,2199.7502,-4162.4883,1476.8765,1283.2212,199.63568,2682.2534,4692.3286,-1790.5343,-6272.4565,-163.90686,226.05591,68.68025,1335.6217,-2055.0945,-6844.0967,3528.698,-39.765476,2437.0142,-3163.2803,4775.714,-955.1787,4082.378,4920.9272,1816.2336,5735.0806,2725.501,2570.516,1209.6504,-2204.2583,475.34506,-5685.619,-579.5828,-1594.819,565.0285,-1328.5315,-88.29411,2717.2722,1093.1013,4442.947,4609.207,3131.587,-596.0054,3508.5134,-658.4853,7482.465,6056.209,-352.02573,-1771.9016,4352.199,-787.33136
Duke University,-3663.1497,2400.243,523.6118,2736.4841,1578.7867,-4554.125,2457.4194,8904.936,-4322.962,-5804.585,-765.43713,-8195.848,-310.1961,1139.8978,-1237.3036,-3426.0044,6630.791,-1096.6718,-3605.2073,-8981.512,4048.3071,-1511.9216,3101.9998,-1180.0977,573.0031,-452.17014,-3061.1187,1969.4915,-1557.8873,331.12643,3535.3323,-2413.3591,1784.9385,-2705.2424,-1711.8109,5573.978,906.6867,369.8342,-4585.114,-3218.1492,1841.425,-3882.287,-2972.1018,1698.278,4423.6343,340.22122,-2823.4343,-2224.4294,2544.0288,4204.1807,2177.3088,-4290.329,1072.841,996.76074,393.40186,2387.8774,4840.345,-1869.6119,-6205.229,-219.99533,220.45467,134.78062,1385.3983,-1863.926,-6192.3696,3587.3936,243.1317,2533.1414,-3163.8345,4266.055,-579.86017,3907.9111,4885.986,1533.4988,5851.224,2866.779,2892.9546,1155.0944,-1920.7014,603.64154,-5379.5195,-528.5622,-1852.8488,823.49194,-1674.3667,-277.09512,2507.954,1217.6418,4384.0464,4603.116,3473.6213,239.1747,3378.3489,-84.32755,7626.8813,5891.022,-144.04256,-1991.32,3998.9382,-937.41943
Princeton University,-3301.5227,1860.9327,512.84827,2744.063,1305.723,-3845.064,2288.4976,7457.4404,-3604.5137,-5188.6924,-393.58115,-6812.0796,-345.0345,1065.5979,-1397.9315,-2686.549,5857.792,-770.7436,-2982.9436,-7959.778,3698.575,-1178.3347,2900.5884,-889.8444,791.90753,-489.3595,-2644.994,1917.5286,-1404.6991,478.2978,3228.7065,-2282.9053,1865.0239,-2196.9756,-1599.7506,5004.2983,759.5455,556.48834,-3955.1787,-2377.031,1792.133,-3444.4932,-3157.7732,1377.0751,3616.7446,-19.766796,-2194.7224,-1775.126,2347.1255,3614.6868,1756.8993,-3587.601,1175.9572,1116.1227,560.3222,2220.5696,3884.7937,-1642.9199,-5357.5054,-187.661,-5.5930643,-117.925476,1521.2344,-1707.8425,-5590.9595,3176.775,-62.537235,2192.9795,-2722.4211,3893.6477,-624.3629,3543.3909,4004.208,1328.0295,4652.3447,2296.5034,2337.699,995.5903,-1745.4034,262.44968,-4721.651,-490.64688,-1357.6556,776.20703,-1190.1951,-37.57531,2401.1123,1083.7325,3781.2603,4079.618,2692.708,-396.34348,2957.1782,-426.27682,6266.339,4994.6694,-258.46466,-1566.9104,3617.2915,-724.3409
Rice University,-3371.7942,1947.4706,373.842,2610.6152,1491.8223,-3890.269,2405.872,7689.744,-3766.4792,-5120.0415,-751.4597,-7154.313,-253.24832,1057.4266,-1289.8726,-2895.946,5733.8174,-817.09595,-3084.5552,-8023.5596,3540.878,-1341.2347,2769.9817,-1095.2667,597.57465,-500.97458,-2747.7231,1713.6411,-1330.2736,387.4653,3385.0361,-2184.1094,1527.457,-2283.8887,-1422.5934,5095.172,674.89905,425.42133,-4017.7651,-2638.795,1821.1804,-3482.9082,-2945.4893,1420.8965,3785.4312,185.103,-2345.72,-1891.0074,2514.2568,3445.4746,1910.6266,-3706.1667,1164.4546,1199.4822,266.307,2188.7336,4190.8125,-1702.5131,-5481.037,-145.32474,320.687,-83.17963,1410.6646,-1703.7173,-5691.1377,3228.785,144.15317,2095.764,-2898.558,3923.4277,-611.18146,3563.0122,4181.401,1470.1208,4795.54,2530.553,2510.828,1065.0375,-1781.6698,461.9908,-4859.28,-528.5627,-1424.0503,601.0086,-1199.4921,-221.13022,2368.4297,1085.956,3899.0999,4100.6455,2929.0818,10.892396,2894.8335,-308.6467,6511.269,5272.1177,-305.0044,-1553.9968,3619.2327,-622.8521
California Institute of Technology,-3134.2974,1865.4753,281.51474,2161.474,1787.8839,-3565.7402,2213.316,6934.009,-3439.864,-4514.577,-722.38617,-6623.2456,-479.4775,971.4477,-1087.4369,-2696.7258,4904.3896,-495.43564,-2682.2812,-7009.6743,3210.7043,-1383.0437,2371.448,-927.6344,517.60944,-606.2993,-2410.118,1659.8047,-1445.4869,56.00486,3025.9692,-2127.7295,1476.9325,-2004.6036,-1161.1802,4522.888,853.7723,654.0837,-3493.425,-2151.9219,1740.697,-3346.0417,-2863.84,1328.9926,3341.7747,190.71643,-2087.7578,-1431.0995,2303.888,3220.153,1877.4341,-3462.2424,946.42236,1121.5784,240.81685,2081.7595,3940.6372,-1464.6935,-4842.9146,-86.11999,264.25635,-37.472218,1248.2362,-1491.0094,-5154.1304,2710.8418,329.98297,1850.1702,-2659.9941,3486.976,-801.5625,3106.8757,3931.7993,1113.3015,4309.8765,2174.6897,2055.629,1094.2468,-1566.7029,415.5575,-4555.83,-423.25098,-1179.3429,420.07294,-1421.2976,41.853676,2003.2981,1083.0863,3618.6448,3592.2334,2755.5125,65.04307,2705.0999,-258.55994,6062.5806,4750.2817,-88.02441,-1507.72,3194.1287,-826.624
Brown University,-3787.449,2193.0076,529.9891,2917.4268,1970.8441,-4212.5176,2637.4712,8144.782,-4386.0576,-5373.099,-944.9005,-7961.9585,-148.96924,1026.8379,-1302.2976,-3351.3892,5991.6035,-715.6248,-3360.335,-8392.076,3913.5603,-1475.6659,2950.376,-1139.0947,794.3501,-629.31445,-2778.1284,2023.3433,-1623.621,158.7724,3647.8203,-2249.9663,1617.3658,-2544.3892,-1229.6381,5483.9116,703.3311,652.2833,-3990.4045,-2902.9158,2092.514,-4018.322,-3229.881,1676.3171,3591.7717,555.8682,-2515.746,-2018.0665,2478.1733,3751.0425,2310.8289,-4090.4993,1228.7091,1100.7334,448.09305,2450.5894,4629.621,-1919.3398,-6073.119,191.72772,84.609024,25.075592,1076.3722,-1962.4432,-6125.79,3292.318,361.8025,2241.2449,-3004.1511,4156.3457,-585.9642,3583.7043,4643.7773,1434.4434,5220.255,2488.2188,2762.3694,1000.1029,-1885.6686,591.2632,-5391.775,-268.18878,-1599.4928,419.84485,-1435.6837,-91.63881,2584.711,1078.7361,4468.7847,4183.58,2867.0251,-71.667,3246.3567,-308.33856,6944.0347,5819.1104,-244.51286,-1745.6426,3864.56,-905.33234
University of Pennsylvania,-5640.641,3102.8833,881.6775,4848.875,2806.9915,-6580.1353,4207.409,12766.143,-6547.6167,-8634.801,-1291.3201,-12313.199,-372.78897,1884.4922,-2350.0034,-4696.807,9873.962,-692.31354,-4968.3237,-13653.782,6607.8877,-1994.4375,4927.597,-1885.0657,1380.2319,-869.5576,-4417.864,3435.224,-2413.7708,501.01212,5692.61,-4011.4038,2906.6208,-4182.8022,-2352.237,8711.279,1490.4384,1017.49115,-6720.629,-4387.233,3075.436,-6133.3345,-5130.762,2745.6511,6005.896,471.54156,-4015.3,-3484.3223,4037.4822,5782.343,3239.8796,-6195.5747,1885.5505,1962.1614,728.233,3827.184,6598.2134,-2665.2764,-9371.212,48.83152,229.5642,-21.710575,1885.3926,-2928.7476,-9776.88,5281.5503,219.47697,3556.7815,-4430.766,6805.1113,-1390.8547,5837.74,6996.449,2593.4495,8274.671,3911.9949,3941.3584,1764.8759,-3237.6843,575.72546,-8331.93,-370.27408,-2398.6655,1034.0709,-2262.938,-294.11688,3770.9617,1669.3418,6577.448,6586.0103,4582.9443,-690.09973,5307.6006,-752.62805,10919.235,8578.553,-228.80345,-2693.7727,6060.14,-1165.3763
Vanderbilt University,-3156.667,1842.9882,367.90237,2789.263,1266.59,-3560.9143,2259.5415,7008.5874,-3608.8538,-4873.2793,-519.587,-6663.617,-216.70374,912.5189,-1316.7341,-2674.3318,5383.955,-593.9357,-2973.7305,-7399.8804,3662.1316,-1121.2996,2937.2053,-821.6998,756.5341,-641.5981,-2353.361,1827.4026,-1349.6355,306.2163,2938.9365,-2300.595,1637.5365,-2147.0874,-1219.3064,4575.074,693.024,634.8276,-3573.8489,-2243.7285,1798.3479,-3282.202,-2974.9817,1444.5449,3175.8882,197.39069,-2002.7136,-1628.9661,2119.731,3271.982,1713.3982,-3596.873,952.27563,912.0653,638.5139,2167.6223,3660.2659,-1659.1522,-5093.799,-16.503424,41.99022,-90.51759,1163.7958,-1735.9119,-5526.4556,2847.925,200.02167,2193.2378,-2526.7168,3732.0527,-378.2844,3255.62,3922.9626,1271.7913,4357.6504,2161.849,2266.4036,826.19324,-1683.6963,116.04416,-4421.5605,-197.87752,-1190.5391,595.50525,-1231.8882,-199.35434,2061.8313,785.7256,3689.674,3686.2607,2428.4475,-390.23575,2804.3186,-322.32367,6044.43,4657.8667,-173.38301,-1620.3658,3281.689,-720.9414
Columbia University,-4454.264,2507.879,787.032,3856.4646,2079.5479,-4948.925,3357.4763,9677.814,-5115.539,-6982.3296,-968.1092,-9664.847,-410.13962,1484.6058,-1977.1412,-4025.95,7722.856,-674.6446,-4132.6025,-10642.343,4952.0,-1886.2914,3984.5906,-1428.3245,1267.2747,-676.13074,-3850.9558,2539.5977,-2058.0657,491.9818,4330.563,-3030.3616,2640.2422,-2963.7153,-1967.6068,6515.536,1036.7543,914.7839,-5068.1904,-3480.3818,2460.5337,-4855.3384,-4170.189,2293.5776,4532.7617,418.363,-3239.762,-2303.6438,3139.6633,4608.749,2615.8005,-4880.6973,1585.367,1280.4417,311.10147,2991.98,5481.635,-2270.8699,-7234.4697,215.31973,-10.430316,-157.618,1727.5583,-2528.6482,-7451.3066,4111.217,-201.18394,2697.1313,-3667.661,5263.468,-1025.4955,4742.3057,5432.0786,1789.6388,6389.284,2828.5518,3278.5657,1271.9446,-2097.606,367.3948,-6606.2095,-706.41797,-1829.8364,368.00137,-1824.4518,-25.810987,3344.4744,1158.9015,5061.264,4975.861,3673.0935,-524.72754,3703.275,-595.77966,8259.718,6846.046,-723.84375,-2040.4441,4627.4575,-872.209
Dartmouth College,-2779.7336,1799.3633,319.52158,2163.4556,1540.018,-3328.3447,2110.0505,6523.4834,-3260.123,-4421.312,-590.47046,-6210.471,-231.1946,917.78577,-1030.7529,-2453.9102,4888.5312,-525.5403,-2529.3054,-6740.659,3113.3147,-1154.6793,2456.5168,-914.68677,653.3206,-515.3729,-2306.0137,1534.6749,-1260.0018,261.21402,2848.0151,-1920.5719,1530.5896,-1986.4008,-1288.0742,4220.5957,746.5759,538.29144,-3302.285,-2295.7505,1520.0913,-2944.4587,-2599.3064,1350.2892,3202.747,196.48563,-1923.8257,-1552.3236,2132.8533,3071.4429,1693.9695,-3098.3833,1013.22144,823.9631,244.90363,2007.4187,3511.8179,-1315.3312,-4670.4834,-123.26371,87.66756,97.22984,1043.0286,-1455.2506,-4692.7563,2791.5435,43.11102,1752.6084,-2423.0894,3355.943,-666.9083,2988.701,3682.4902,1182.6989,4232.3125,2044.2635,2128.2358,807.0372,-1460.5624,403.74634,-4117.7627,-551.01434,-1227.3741,451.82297,-1136.7214,-39.649567,2154.5227,756.9328,3274.59,3444.1584,2562.9807,-64.52119,2461.487,-340.26743,5562.632,4482.8477,-196.21059,-1285.905,3183.138,-654.36127
