,sat_min,sat_max,names,price,acceptance,size,state,public
0,1510,1570,Massachusetts Institute of Technology,"$20,465",7%,4530,MA,0
1,1460,1570,Harvard University,"$18,030",5%,6755,MA,0
2,1440,1570,Stanford University,"$16,779",4%,7083,CA,0
3,1460,1570,Yale University,"$18,073",6%,5963,CT,0
4,1480,1570,Duke University,"$24,386",8%,6596,NC,0
5,1460,1570,Princeton University,"$18,712",6%,5301,NJ,0
6,1470,1570,Rice University,"$20,335",9%,3962,TX,0
7,1530,1560,California Institute of Technology,"$27,438",6%,948,CA,0
8,1440,1570,Brown University,"$27,218",7%,7160,AR,0
9,1450,1560,University of Pennsylvania,"$24,771",8%,10764,PA,0
10,1460,1560,Vanderbilt University,"$25,855",9%,6840,TN,0
11,1440,1570,Columbia University,"$21,828",5%,8216,NY,0
12,1440,1560,Dartmouth College,"$23,869",8%,4312,NH,0
13,1440,1550,Northwestern University,"$26,196",9%,8265,LA,0
14,1480,1560,Washington University in St. Louis,"$27,108",14%,7356,WA,0
15,1400,1550,University of Notre Dame,"$30,536",16%,8568,IN,0
16,1500,1570,University of Chicago,"$34,719",6%,7011,IL,0
17,1400,1560,Cornell University,"$28,921",11%,15105,NY,0
18,1360,1530,University of Southern California,"$37,521",11%,20351,CA,0
19,1390,1540,Pomona College,"$18,500",7%,1376,CA,0
20,1460,1560,Johns Hopkins University,"$28,999",11%,5567,MD,0
21,1460,1560,Carnegie Mellon University,"$30,618",15%,6483,PA,0
22,1340,1530,University of Michigan - Ann Arbor,"$17,357",23%,30079,MI,1
23,1300,1530,University of California - Los Angeles,"$15,718",12%,24163,CA,1
24,1380,1550,Georgetown University,"$28,442",14%,7089,DC,0
25,1360,1510,Bowdoin College,"$23,808",9%,1825,ME,0
26,1300,1510,Georgia Institute of Technology,"$16,883",21%,15201,GA,1
27,1490,1570,Harvey Mudd College,"$39,411",14%,886,CA,0
28,1340,1520,University of Virginia,"$17,579",24%,16405,VA,1
29,1360,1540,Carleton College,"$31,547",19%,2046,MN,0
30,1390,1540,Tufts University,"$26,280",15%,5597,MA,0
31,1160,1380,United States Military Academy at West Point,"$0",12%,4589,NY,1
32,1410,1550,Williams College,"$17,303",13%,2028,MA,0
33,1380,1540,Haverford College,"$22,837",16%,1305,PA,0
34,1380,1520,Colby College,"$19,592",10%,1300,ME,0
35,1360,1500,Washington & Lee University,"$23,301",19%,1822,VA,0
36,1310,1520,Amherst College,"$16,339",11%,1855,MA,0
37,1360,1530,Middlebury College,"$23,367",15%,2550,VT,0
38,1360,1510,Claremont McKenna College,"$24,456",10%,1318,CA,0
39,1360,1530,Emory University,"$25,942",16%,6975,GA,0
40,1340,1520,Barnard College,"$26,649",12%,2557,NY,0
41,1380,1540,Swarthmore College,"$19,759",9%,1544,PA,0
42,1360,1530,Wellesley College,"$19,805",22%,2392,MA,0
43,1270,1410,Wake Forest University,"$24,800",30%,5225,NC,0
44,1330,1500,Colgate University,"$23,503",23%,2934,NY,0
45,1330,1530,University of California - Berkeley,"$18,522",16%,30845,CA,1
46,1310,1480,Davidson College,"$27,714",18%,2592,NC,0
47,1310,1500,University of North Carolina at Chapel Hill,"$10,085",23%,18946,NC,1
48,1340,1500,Boston College,"$28,354",27%,9370,MA,0
49,1390,1540,Northeastern University,"$36,479",18%,6306,IL,0
50,1350,1530,New York University,"$37,739",16%,6586,NY,0
51,1300,1480,Wesleyan University,"$21,853",16%,3018,CT,0
52,1370,1520,Hamilton College,"$29,117",16%,1850,IA,0
53,1320,1510,William & Mary,"$18,551",38%,6377,VA,1
54,1340,1510,Boston University,"$29,479",19%,17238,MA,0
55,1310,1470,University of Florida,"$10,457",37%,32072,FL,1
56,1230,1480,University of Texas - Austin,"$15,502",32%,40329,TX,1
57,1340,1510,Case Western Reserve University,"$35,890",27%,5131,OH,0
58,1240,1420,University of Georgia,"$15,961",45%,29848,GA,1
59,1180,1390,Virginia Tech,"$18,449",70%,27730,VA,1
60,1300,1480,University of Wisconsin,"$16,103",54%,31650,WI,1
61,1290,1460,University of Richmond,"$25,282",28%,3215,VA,0
62,1280,1450,Lehigh University,"$26,631",32%,5030,PA,0
63,1320,1470,Villanova University,"$36,840",28%,6819,PA,0
64,1320,1510,Macalester College,"$31,458",32%,2160,MN,0
65,1360,1520,Tulane University,"$40,783",13%,7920,LA,0
66,1370,1520,Vassar College,"$24,811",24%,2436,NY,0
67,1370,1530,Grinnell College,"$29,404",23%,1683,IA,0
68,1385,1460,Bates College,"$26,669",12%,1832,ME,0
69,1270,1440,University of Miami,"$33,102",27%,11090,FL,0
70,1240,1470,Smith College,"$28,905",32%,2502,NY,0
71,1250,1440,Lafayette College,"$26,810",31%,2610,PA,0
72,1270,1460,Kenyon College,"$37,940",34%,1719,OH,0
73,1310,1500,University of Rochester,"$32,939",30%,6780,NY,0
74,1210,1470,University of Illinois at Urbana-Champaign,"$14,660",59%,32974,IL,1
75,1190,1440,Purdue University,"$12,684",60%,7270,IN,1
76,1300,1530,The Cooper Union for the Advancement of Science and Art,"$28,366",15%,845,NY,0
77,1260,1430,Bucknell University,"$39,493",34%,3583,PA,0
78,1160,1460,Colorado School of Mines,"$26,856",53%,4906,CO,1
79,1160,1390,Texas A&M University,"$19,237",58%,56205,TX,1
80,1320,1520,Reed College,"$32,069",39%,1456,OR,0
81,1070,1310,Penn State,"$24,724",76%,39809,PA,1
82,1280,1440,Santa Clara University,"$42,114",49%,5504,CA,0
83,1230,1480,University of California - Santa Barbara,"$16,767",30%,23063,CA,1
84,1330,1490,Scripps College,"$39,702",32%,1048,CA,0
85,1300,1480,Southern Methodist University,"$40,404",47%,6448,TX,0
86,1270,1450,Babson College,"$28,325",26%,2361,MA,0
87,1310,1500,Bryn Mawr College,"$33,716",33%,1353,PA,0
88,1250,1420,North Carolina State University,"$14,958",45%,23708,NC,1
89,1210,1420,Brigham Young University,"$13,340",67%,30843,UT,0
90,1310,1480,Worcester Polytechnic Institute,"$42,393",49%,4571,MA,0
91,1250,1460,The Ohio State University,"$18,706",54%,46984,OH,1
92,1220,1470,University of Washington,"$10,692",52%,7356,WA,1
93,1200,1340,Florida State University,"$12,568",36%,32072,FL,1
94,1290,1500,Mount Holyoke College,"$32,008",38%,2190,MA,0
95,1260,1480,University of Minnesota Twin Cities,"$17,279",57%,31451,MN,1
96,1290,1490,Rensselaer Polytechnic Institute,"$41,006",47%,6590,NY,0
97,1260,1430,College of the Holy Cross,"$34,627",34%,3174,MA,0
98,1230,1400,Clemson University,"$21,482",51%,19564,SC,1
99,1170,1420,University of California - Irvine,"$15,268",27%,29722,CA,1
